date,state,cases,population,Infec,Infec_ub,Infec_lb,Infec_1,Infec_2
2020-05-12,DF,180,3052546,190.4381236451441,201.29414920484382,181.45977536280117,13436.228625830645,64.10882006901822
2020-05-13,DF,213,3052546,205.01507497820285,217.4745228428418,195.3416269214105,13134.792426783792,65.54686027905005
2020-05-14,DF,224,3052546,220.8281806460395,235.3072055428489,211.0183053664302,12801.852453417596,67.00918475134665
2020-05-15,DF,371,3052546,237.88772914180043,254.57830529063838,226.48053886373788,11515.899787345772,68.55976044637674
2020-05-16,DF,353,3052546,256.42783636972456,274.1141649541603,242.88863322831764,10349.801869025896,70.30007280998683
2020-05-17,DF,228,3052546,276.24134010210014,294.8152991923536,260.5192324406146,9378.501902139122,72.08830588420764
2020-05-18,DF,250,3052546,297.4736507253458,318.0938255538052,279.10407367980224,8147.447415735352,73.91305289696169
2020-05-19,DF,235,3052546,319.67844597383566,344.4728854951568,298.97336569455683,7052.999553004105,75.78682778578778
2020-05-20,DF,418,3052546,343.3469193850224,373.01953762014114,320.16993303661997,6173.558139080205,77.50235481136774
2020-05-21,DF,271,3052546,369.6308028438646,403.34375414001727,342.8288565100663,5520.491476165153,79.22805390945679
2020-05-22,DF,406,3052546,397.42000316481256,435.2109427055295,367.0455426099185,4829.634857458799,80.99105754192995
2020-03-19,ES,13,4064052,0.0,0.0,0.0,0.0,
2020-03-20,ES,3,4064052,0.6935447235551446,0.8316850007591048,0.4624764864333151,0.6935447235551446,
2020-03-21,ES,10,4064052,1.237395482292306,1.4240482913066654,0.9831841793589609,1.237395482292306,
2020-03-22,ES,0,4064052,1.6671357860043832,1.936099166558179,1.3095610904647663,1.6671357860043832,
2020-03-23,ES,7,4064052,2.0809749164003515,2.405173015660768,1.6463628421468877,2.0809749164003515,
2020-03-24,ES,7,4064052,2.5122347723698883,2.89341077026129,1.9981870563102528,2.5122347723698883,
2020-03-25,ES,0,4064052,2.9920268743177685,3.4504179848605387,2.3906778072085486,2.9920268743177685,
2020-03-26,ES,8,4064052,3.5467787186707236,4.107317288075592,2.8606494158084907,3.5467787186707236,
2020-03-27,ES,6,4064052,4.185435891237663,4.866811510893267,3.395972467313309,4.185435891237663,
2020-03-28,ES,7,4064052,4.9475655154580584,5.8138660907348445,4.026738631698271,4.9475655154580584,
2020-03-29,ES,11,4064052,5.8209275425055775,6.9979140871293355,4.774467501157741,5.8209275425055775,
2020-03-30,ES,13,4064052,6.878598100490112,8.310989555544188,5.659257767489892,6.878598100490112,
2020-03-31,ES,12,4064052,8.007871309534156,9.84855003916822,6.7510266454866015,8.007871309534156,
2020-04-01,ES,23,4064052,9.478237489176264,11.843106976607686,7.88751175226359,9.478237489176264,
2020-04-02,ES,19,4064052,11.154531480705712,14.2063653605198,9.395127925556686,11.154531480705712,
2020-04-03,ES,14,4064052,13.186971884351635,17.153561906631055,11.135597362945976,13.186971884351635,
2020-04-04,ES,13,4064052,15.514630200725994,20.734934454483696,13.180819127968011,15.514630200725994,
2020-04-05,ES,28,4064052,18.31395649109423,25.0682420616403,15.617928358842573,18.31395649109423,
2020-04-06,ES,15,4064052,21.596007679220605,30.30330501352604,18.543918356611805,21.596007679220605,
2020-04-07,ES,18,4064052,25.4442502588535,36.63581960517861,22.15800351086117,25.4442502588535,
2020-04-08,ES,46,4064052,29.975255997843927,44.29703011657581,26.31737563671823,29.975255997843927,
2020-04-09,ES,27,4064052,35.36259727797648,53.55539735745861,30.65494617269535,35.36259727797648,
2020-04-10,ES,49,4064052,41.70615478298475,58.69631013724775,35.748954830318326,41.70615478298475,
2020-04-11,ES,34,4064052,49.21526011917153,64.18870721021136,41.690420370069276,49.21526011917153,
2020-04-12,ES,47,4064052,57.894122784257824,71.63971723542952,48.59542290954907,57.894122784257824,
2020-04-13,ES,33,4064052,67.19265511268254,79.76573408529302,56.770737262127284,68.34697039062608,
2020-04-14,ES,94,4064052,76.64018541871373,86.68175689310621,66.05781474810104,80.7056880963018,
2020-04-15,ES,177,4064052,84.95390552811028,94.77988954566999,71.24273548366806,95.14198987869491,
2020-04-16,ES,201,4064052,88.20394770309342,98.06727196930063,74.76146514144281,112.0319122793293,
2020-04-17,ES,17,4064052,90.37502995537741,101.38860836988476,78.72468884955703,131.7567596268981,
2020-04-18,ES,147,4064052,93.37221783726105,103.31724906972141,83.05964535298709,154.97062176305926,
2020-04-19,ES,96,4064052,97.47006839440058,106.17038440229194,87.7247310652103,181.9660472019952,
2020-04-20,ES,17,4064052,102.28452609629306,109.96178754652844,92.70179060752308,213.71128014738082,
2020-04-21,ES,101,4064052,107.41671439958077,114.85471761207664,97.98877503540248,250.8394308694448,
2020-04-22,ES,38,4064052,112.95440718085013,120.11779694815162,103.59168522178335,294.6948510931753,
2020-04-23,ES,102,4064052,118.7964888650005,125.80998245038704,109.52141131081396,346.9490403673208,
2020-04-24,ES,212,4064052,124.91164482519464,131.87739125723118,115.79243923738035,408.1993500717487,
2020-04-25,ES,46,4064052,131.44385596802567,138.30565205898463,122.48408641713243,479.5413338526014,
2020-04-26,ES,108,4064052,138.30138543114208,145.2372150489191,129.58109614677534,563.1149829943066,
2020-04-27,ES,125,4064052,145.514829093883,152.5744966208996,137.0853617490498,661.4169250703108,
2020-04-28,ES,220,4064052,153.1306158952171,160.29348098869508,144.98261934505942,777.9258151973943,
2020-04-29,ES,374,4064052,161.20992526267437,168.40316160263166,153.24584543274602,914.0483904508636,
2020-04-30,ES,150,4064052,169.63446360107943,176.91981940137882,161.97520768337918,1074.4354074944736,
2020-05-01,ES,225,4064052,178.6523433410745,185.8084818406722,171.19594459343486,1259.8941277618123,
2020-05-02,ES,191,4064052,187.8824222388181,195.0080667082732,180.93351316972388,1476.9792344156174,
2020-05-03,ES,104,4064052,197.66862145993855,204.78818774654854,191.19492986042718,1730.2368221817715,
2020-05-04,ES,143,4064052,207.6857440428483,214.95240057586102,201.65217997661307,2025.180014030416,
