date,state,cases,population,Infec,Infec_ub,Infec_lb,Infec_1,Infec_2
2020-05-13,MA,123,1080406,210.3631592739732,220.07487228804268,202.73639525852744,6149.494488566539,NA
2020-05-14,MA,335,1080406,214.9772819303958,226.2887466442181,207.07851051511463,6614.241038823473,NA
2020-05-15,MA,222,1080406,219.85267027189275,232.2348458952689,211.44982275547844,7037.076251232447,NA
2020-05-16,MA,233,1080406,224.5959053169464,237.90781566547798,215.87174890856141,7400.2845318270165,NA
2020-05-17,MA,165,1080406,229.41053490978211,243.67523081581558,220.3391423826609,7682.965890377405,NA
2020-05-18,MA,253,1080406,234.357036336107,249.53634638624737,224.2165072905492,7820.1669208574585,NA
2020-05-19,MA,231,1080406,239.2739778487154,255.67288728147238,228.12523822949555,7854.284018339323,NA
2020-05-20,MA,160,1080406,244.42710168687177,262.2134177787524,232.06375327808536,7780.670774153299,NA
2020-05-21,MA,46,1080406,249.65931008961982,268.9519636731168,235.81348227439412,7682.9391761910465,NA
2020-05-22,MA,429,1080406,254.95582582713402,275.811597553085,239.42768137119884,7494.33878514258,NA
2020-05-23,MA,372,1080406,260.42137472093225,283.7243945830693,243.3846594639398,7258.093561240385,NA
2020-05-24,MA,431,1080406,265.951404962481,291.79849982759504,246.95929347099187,6903.7056863539965,NA
2020-05-25,MA,151,1080406,271.5144297529749,299.6412132642705,250.54222118748922,6496.778037125695,NA
2020-05-26,MA,285,1080406,277.0066116447612,307.10845436998613,254.13141931123283,6051.437082887574,NA
2020-05-27,MA,110,1080406,282.5503683898079,314.68577225370535,257.72518194942785,5599.682315467529,NA
2020-05-28,MA,237,1080406,288.1432433468673,322.37087088506735,261.3218538484664,5138.920982832843,NA
2020-05-29,MA,182,1080406,293.7845764708078,330.1596686185875,264.92100035029057,4680.79360689619,NA
2020-05-30,MA,259,1080406,299.480938526105,338.04999467271205,268.5130348903499,4237.153940139961,NA
2020-05-31,MA,114,1080406,305.2192669220528,346.03684129681506,272.1065445244268,3814.5848611888505,NA
2020-06-01,MA,192,1080406,310.99502444778864,354.1168060981253,275.69638754211394,3417.6418605648573,NA
2020-06-02,MA,143,1080406,316.98071351096866,362.2846312673745,279.27043765360014,3049.12760037921,NA
2020-06-03,MA,327,1080406,322.8527466258123,370.5344190381594,282.8413802915058,2710.398330933332,NA
2020-06-04,MA,18,1080406,328.64384845883205,378.866495769271,286.3982153930824,2401.671369727345,NA
2020-06-05,MA,135,1080406,334.5861358607795,387.26681049819985,289.9411753904311,2122.3085549404805,NA
2020-06-06,MA,424,1080406,340.4569214479493,395.7364113757911,293.65576830542045,1868.9488168257967,NA
2020-03-20,MT,1,578994,0,0,0,0,0
2020-03-21,MT,0,578994,0.3557966422854617,0.5777814721819459,0.20202417085481705,0.3557966422854617,0.3557966422854617
2020-03-22,MT,0,578994,0.660756568884656,0.9041484452726032,0.4182411660815991,0.660756568884656,0.660756568884656
2020-03-23,MT,4,578994,0.8956203332129465,1.1774953093337768,0.5871273340702927,0.8956203332129465,0.8956203332129465
2020-03-24,MT,0,578994,1.097250820042607,1.4037007233124268,0.7304705760713507,1.097250820042607,1.097250820042607
2020-03-25,MT,1,578994,1.2737385081266872,1.6285656604211467,0.8728402508520954,1.2737385081266872,1.2737385081266872
2020-03-26,MT,2,578994,1.4863897291466088,1.8899717941045064,1.0120360183001136,1.4863897291466088,1.4863897291466088
2020-03-27,MT,0,578994,1.6495392777538638,2.2153805121047454,1.2023577162885326,1.6495392777538638,1.6495392777538638
2020-03-28,MT,0,578994,1.8760513775643328,2.6594054074544573,1.4118604434506032,1.8760513775643328,1.8760513775643328
2020-03-29,MT,0,578994,2.108051606698854,3.2192734314481632,1.5695701569777245,2.108051606698854,2.108051606698854
2020-03-30,MT,4,578994,2.3913607501292247,3.928943183844268,1.7398272172027058,2.3913607501292247,2.3913607501292247
2020-03-31,MT,6,578994,2.689224350122492,4.704062572434187,1.9237403599403864,2.689224350122492,2.689224350122492
2020-04-01,MT,1,578994,3.05346426724961,5.0177696777779275,2.0765893798113075,3.0843088738257216,3.05346426724961
2020-04-02,MT,6,578994,3.4044743907867483,5.5451772838094175,2.2502027906844435,3.463567244802074,3.4044743907867483
2020-04-03,MT,0,578994,3.7044051529534654,5.754312649435335,2.450375420503732,3.870308460981596,3.7044051529534654
2020-04-04,MT,13,578994,3.866134496934434,5.850782833212719,2.6322914423356827,4.353456720854116,3.866134496934434
2020-04-05,MT,0,578994,4.006435633151103,5.935168420326862,2.745326349799635,4.94488208619447,4.006435633151103
2020-04-06,MT,5,578994,3.997413609245987,5.914991203875825,2.925172154270202,5.576711475741601,3.997413609245987
2020-04-07,MT,0,578994,4.122250426443971,5.988879196827912,2.9756830660167712,6.245983484969533,4.122250426443971
2020-04-08,MT,7,578994,4.232521482762212,6.498233589777608,2.995947462172274,6.996447058018902,4.232521482762212
2020-04-09,MT,8,578994,4.162212932180335,6.148103872700808,3.077275723788804,7.8649075327651445,4.162212932180335
2020-04-10,MT,2,578994,4.05805713684134,6.160711255439176,3.0811789892462165,8.850512786840536,4.05805713684134
2020-04-11,MT,4,578994,3.9880545344808453,5.776436661089038,3.0627807617778533,9.960428344701576,3.9880545344808453
2020-04-12,MT,0,578994,3.926828492588683,5.538349796475109,3.0437091533262555,11.210697491169217,3.926828492588683
2020-04-13,MT,8,578994,3.8822723419167238,5.198914488250501,3.04312392684556,12.618248573815146,3.8822723419167238
2020-04-14,MT,3,578994,3.851148726073189,5.00346580348767,3.0348553739866286,14.203892381117566,3.851148726073189
2020-04-15,MT,4,578994,3.818577698360023,4.843693859708517,3.0165442866488528,15.994859629947419,3.818577698360023
2020-04-16,MT,4,578994,3.796034818993794,4.755533065194814,2.957464288469445,18.100691592978198,3.796034818993794
2020-04-17,MT,5,578994,3.7631553108138682,4.7453302044839685,2.9031497601800065,20.478673486024906,3.7631553108138682
2020-04-18,MT,3,578994,3.7538814597380483,4.736537607713754,2.8747247692109887,23.189469938823237,3.7538814597380483
2020-04-19,MT,1,578994,3.715827157640063,4.690193627095632,2.8467351577136766,26.307346238455853,3.715827157640063
2020-04-20,MT,4,578994,3.6863247461493938,4.625344695336423,2.8182605019928437,29.842898330651607,3.6863247461493938
2020-04-21,MT,0,578994,3.647546869810677,4.562413712219167,2.742184961442143,33.850477791498854,3.647546869810677
2020-04-22,MT,6,578994,3.624793578579257,4.5005385452525495,2.642520241121458,38.3931026439662,3.624793578579257
2020-04-23,MT,6,578994,3.589010559709748,4.459731210737804,2.5472774897047703,43.5412738559313,3.589010559709748
2020-04-24,MT,11,578994,3.5684228783051744,4.479044641588661,2.480367292797641,49.37332030548559,3.5684228783051744
2020-04-25,MT,5,578994,3.5302748255427514,4.449785389621195,2.4048205794142827,55.98002223654488,3.5302748255427514
2020-04-26,MT,3,578994,3.506031681055461,4.393319224046477,2.344431625743942,63.4288765476957,3.506031681055461
2020-04-27,MT,-1,578994,3.4920043632471622,4.355414745711819,2.3256140331301243,71.69911430527392,3.4920043632471622
2020-04-28,MT,1,578994,3.520253235407576,4.372539642705608,2.249724749480622,81.0327871881252,3.4690086472993524
2020-04-29,MT,2,578994,3.5283575804118645,4.415549338460777,2.2512860904310563,91.56404285908077,3.446195772402584
2020-04-30,MT,5,578994,3.5411690849232054,4.458973095494958,2.516261008403955,103.44124144408232,3.428916205329938
2020-05-01,MT,4,578994,3.6404663619743283,4.799167475082683,2.6717307061834368,116.75588848679622,3.410623349845501
2020-05-02,MT,3,578994,3.725139956639032,5.206356661208831,2.7084712443708803,130.77776607699707,3.3708585182345336
2020-05-03,MT,3,578994,4.013905473503458,5.537327114079961,2.9938208565444486,146.43333340598403,3.3301372147291795
2020-05-04,MT,1,578994,4.297437341316858,5.960484742487661,3.224191255928975,163.9001117704903,3.3037787512100203
2020-05-05,MT,3,578994,4.876244267965467,6.442572463804552,3.4107451773795807,183.3717229457055,3.269519273897333
2020-05-06,MT,7,578994,5.5244212635076835,7.011455818973838,3.754169630379524,206.32267294033386,3.2287108432567857
2020-05-07,MT,7,578994,6.1742198731567255,7.709938683756643,4.40043292915748,232.1550032540224,3.1908980479760194
2020-05-08,MT,9,578994,6.8386553075558645,8.402321646797727,5.004875351629846,261.05857728596095,3.161878490185135
2020-05-09,MT,12,578994,7.603884006401982,9.158090826361867,5.798241623238437,293.3546142336145,3.1330548635417834
2020-05-10,MT,2,578994,8.484730314877666,9.98105058895775,6.711176558478383,329.38526777902337,3.10455381794738
2020-05-11,MT,7,578994,9.426114956934402,10.877678107818568,7.6798776320812365,369.5112811843196,3.0763579039594533
2020-05-12,MT,19,578994,10.422303801781704,11.972074007369912,8.696979499774898,414.1090274055977,3.0483106940439733
2020-05-13,MT,16,578994,11.624554100666796,13.195873963070028,9.804480150413578,463.56759483692383,3.0253385417612444
2020-05-14,MT,8,578994,12.863485028934598,14.464414330369479,11.047820441281116,518.2784098857389,2.997983692451572
2020-05-15,MT,17,578994,14.184608656374893,16.13766819515174,12.32443185633642,578.0550419593028,2.965726939181052
2020-05-16,MT,13,578994,15.702113770903788,17.938736893146114,13.709573859151881,642.1431195987841,2.938682794250247
