date,state,population,Rtdata,Rtmod,Rtmod_ub,Rtmod_lb
2020-04-05,MS,2809394,1.5703756666586446,1.4137556595194345,1.458705347154162,1.3746468214786396
2020-04-06,MS,2809394,1.3525439378221644,1.4091373310067452,1.4544712915454856,1.3690401106095271
2020-04-07,MS,2809394,1.5584555518559218,1.404561055684877,1.4515115334629525,1.365756793780668
2020-04-08,MS,2809394,1.476545079802692,1.4024687136658711,1.4491093233832482,1.3616486223162476
2020-04-09,MS,2809394,1.3987980678659893,1.4004097939720055,1.4472780216265255,1.3600944446754308
2020-04-10,MS,2809394,1.2541169074876115,1.3986746721709868,1.4456601947656758,1.3573226325364556
2020-04-11,MS,2809394,1.094098834801687,1.3972559738391457,1.4444495699105824,1.3553329222108363
2020-04-12,MS,2809394,1.13459511354525,1.3963216120752608,1.44369128898705,1.3542249658519006
2020-04-13,MS,2809394,1.1781649469311035,1.3957434131853694,1.4428789770384969,1.3535932102148769
2020-04-14,MS,2809394,1.4573783753564835,1.3952907680372229,1.4422832842336772,1.3533485824920175
2020-04-15,MS,2809394,1.9622331132181623,1.3948783047033908,1.4420235526053369,1.3531582208754405
2020-04-16,MS,2809394,1.6807123833086786,1.3945400261033,1.4416501349246298,1.3528496016611564
2020-04-17,MS,2809394,1.5935476581165435,1.3942242495204915,1.4413587075775691,1.3524285560970941
2020-04-18,MS,2809394,1.381265792451118,1.3940512859388805,1.441170053605632,1.3520973156182714
2020-04-19,MS,2809394,1.1036560194774927,1.3939310258959428,1.4409435241641744,1.3520574106883183
2020-04-20,MS,2809394,1.038857851469061,1.39412510288256,1.4408818754978117,1.3519255345993009
2020-04-21,MS,2809394,1.227275767737103,1.3935440773372936,1.4407092798944872,1.3525541160765502
2020-04-22,MS,2809394,1.1280598899707042,1.3935452120307454,1.440649584206792,1.3519303911782672
2020-04-23,MS,2809394,1.4206072731969928,1.3933860941645508,1.440581855877061,1.3506446471638671
2020-04-24,MS,2809394,1.4180365231148582,1.3931875851347115,1.4411721419041288,1.3505901554501387
2020-04-25,MS,2809394,1.3626664393856078,1.3932093053077872,1.4399170262932937,1.3509259547565051
2020-04-26,MS,2809394,1.2679126237651688,1.393676573138217,1.440468774540805,1.351209918333396
2020-04-27,MS,2809394,0.8148456868816477,1.3928823182632426,1.4405313682572631,1.3511942160441772
2020-04-28,MS,2809394,0.8438562015468083,1.3930895520075586,1.4402426486344455,1.3506948332176874
2020-04-29,MS,2809394,0.6146397378875278,1.3928067923841558,1.4407142896877183,1.3513446908342948
2020-04-30,MS,2809394,0.6670998710520026,1.3928103526837423,1.4512014462315497,1.3510311885371853
2020-05-01,MS,2809394,0.6879143717401566,1.3931060176206709,1.4572766990256194,1.3516344012369497
2020-05-02,MS,2809394,0.7128331793718354,1.3946949346493134,1.4662845405567182,1.3519371081670104
2020-05-03,MS,2809394,0.7181992725350683,1.3978550748991188,1.506971413897356,1.3550714684602272
