date,state,cases,population,Infec,Infec_ub,Infec_lb,Infec_1,Infec_2
2020-03-12,PR,5,1927079,0.0,0.0,0.0,0.0,0.0
2020-03-13,PR,0,1927079,0.5201691365498964,0.7418534021138656,0.3147733575602573,0.5201691365498964,0.5201691365498964
2020-03-14,PR,0,1927079,0.9734553552114468,1.2457853446537013,0.756568555207116,0.9734553552114468,0.9734553552114468
2020-03-15,PR,0,1927079,1.3135081366798824,1.6233170653386528,0.998889539173974,1.3135081366798824,1.3135081366798824
2020-03-16,PR,0,1927079,1.5968266488596998,1.936257306052776,1.1953756681816374,1.5968266488596998,1.5968266488596998
2020-03-17,PR,2,1927079,1.86603422277391,2.2402445313250934,1.3882172363011014,1.86603422277391,1.86603422277391
2020-03-18,PR,1,1927079,2.149014963683011,2.5667401421225526,1.6049899997031596,2.149014963683011,2.149014963683011
2020-03-19,PR,9,1927079,2.4347617343415164,2.9227315922242045,1.86579680973339,2.4347617343415164,2.4347617343415164
2020-03-20,PR,10,1927079,2.7561579108518157,3.29122909042813,2.164647302606729,2.7561579108518157,2.7561579108518157
2020-03-21,PR,4,1927079,3.1047732708529256,3.702562115691968,2.504309703834374,3.1047732708529256,3.1047732708529256
2020-03-22,PR,0,1927079,3.453021852259072,4.196537425360502,2.8784705650170186,3.453021852259072,3.453021852259072
2020-03-23,PR,3,1927079,3.879293911336733,4.7837766170907985,3.219831421733967,3.879293911336733,3.879293911336733
2020-03-24,PR,6,1927079,4.366293228308975,5.434372558858402,3.5824641472945316,4.366293228308975,4.366293228308975
2020-03-25,PR,20,1927079,4.894983025627308,6.179569591300802,3.968269047289122,4.894983025627308,4.894983025627308
2020-03-26,PR,6,1927079,5.511568993604177,7.040879559988964,4.500207661685754,5.511568993604177,5.511568993604177
2020-03-27,PR,5,1927079,6.216663816678999,8.022063883412446,5.0975602533756765,6.216663816678999,6.216663816678999
2020-03-28,PR,3,1927079,7.004936920413754,9.136519716523102,5.6810894936072325,7.004936920413754,7.004936920413754
2020-03-29,PR,-1,1927079,7.8821411259587935,10.409005296424619,6.3244498407957925,7.8821411259587935,7.8821411259587935
2020-03-30,PR,4,1927079,8.895958462198376,11.857924480449135,7.02880566207668,8.895958462198376,8.895958462198376
2020-03-31,PR,10,1927079,10.014042734326534,13.508532703516595,7.8091600861441695,10.014042734326534,10.014042734326534
2020-04-01,PR,10,1927079,11.28895078603322,15.404791767538564,8.678598716717968,11.28895078603322,11.28895078603322
2020-04-02,PR,2,1927079,12.696946706459679,17.614808280892696,9.609846553328307,12.696946706459679,12.696946706459679
2020-04-03,PR,15,1927079,14.222547554285526,20.31656815310369,10.628188080614118,14.222982658934882,14.222547554285526
2020-04-04,PR,39,1927079,15.704868496088036,22.529704036817073,11.750311548839324,15.873363722123788,15.704868496088036
2020-04-05,PR,19,1927079,16.708230408746658,22.53877708923425,12.992802980072598,17.77767465403332,16.708230408746658
2020-04-06,PR,3,1927079,16.680698570793634,22.908424658669762,13.605153763314593,20.00802324224616,16.680698570793634
2020-04-07,PR,19,1927079,16.618057144121853,22.77652646718877,13.173604048110835,22.56595571050788,16.618057144121853
2020-04-08,PR,11,1927079,16.125904391499642,24.41394844431061,12.80626904302108,25.511166411742053,16.125904391499642
2020-04-09,PR,32,1927079,15.43023705599493,25.006362817002586,12.479048403033087,28.84859834110853,15.43023705599493
2020-04-10,PR,14,1927079,14.762914366259372,22.863521692375663,12.205151485535106,32.61661088894397,14.762914366259372
2020-04-11,PR,28,1927079,14.097733358110222,22.30421878912352,11.557437447795401,36.767318496581,14.097733358110222
2020-04-12,PR,23,1927079,13.63864463427001,19.193893086633857,11.071583343626155,41.44724912657588,13.63864463427001
2020-04-13,PR,-3,1927079,12.847209166949625,17.12407351811973,10.598911407372897,46.72785335442395,12.847209166949625
2020-04-14,PR,3,1927079,12.328847222739697,15.46079809460049,10.171914067189412,52.61537627552474,12.328847222739697
2020-04-15,PR,4,1927079,11.877160643548946,14.180572897349489,9.6426886155089,59.310531500167706,11.877160643548946
2020-04-16,PR,14,1927079,11.536365586644642,13.477232929345796,9.104627724227665,66.85333904797565,11.536365586644642
2020-04-17,PR,15,1927079,11.067426122643713,13.026897060466721,8.578650034989034,75.35398283999317,11.067426122643713
2020-04-18,PR,11,1927079,10.551348859035006,12.530143627424133,7.982298321009417,84.93215504402951,10.551348859035006
2020-04-19,PR,14,1927079,10.187106392579665,12.226398306341741,7.36261133370577,95.72003180304377,10.187106392579665
2020-04-20,PR,9,1927079,9.896896385063501,11.93418120376262,6.851985427413499,107.85461232724646,9.896896385063501
2020-04-21,PR,4,1927079,9.5420317897871,11.652249477514285,6.449052333202858,121.66057512847358,9.5420317897871
2020-04-22,PR,7,1927079,9.225364304596669,11.456638333563767,6.011751187557019,137.15254095918613,9.149696319527294
2020-04-23,PR,9,1927079,8.873660894554806,11.318263853169038,5.561352104796479,154.31959707365695,8.790140361499969
2020-04-24,PR,8,1927079,8.687359029526107,11.166763410361268,5.4203140482729655,173.61688449264167,8.431702413839151
2020-04-25,PR,4,1927079,8.658768154097563,10.92658148805038,5.415233658132738,195.3017383481217,8.107805745119903
2020-04-26,PR,3,1927079,8.393955346214408,10.88088471125693,5.194505807369191,219.6620808305513,7.862301749857052
2020-04-27,PR,10,1927079,8.304614675753449,10.869628865636477,5.524993534121838,247.0203268823021,7.644947000064434
