,date,state,cases,deaths,population,Infec_mean,Infec_lb,Infec_ub
32,2020-04-06,RJ,351,24,9052780.0,514.2545866904245,452.9851439618738,573.2188593992307
33,2020-04-07,RJ,437,30,9507916.0,559.6076209413686,493.10366692336623,622.4519201390807
34,2020-04-08,RJ,489,33,9517200.0,608.2074068668102,535.5726295532966,674.2724532111382
35,2020-04-09,RJ,583,40,9623929.0,660.2917762902052,580.9450914245675,729.6988522348449
36,2020-04-10,RJ,656,55,9846229.0,716.1084662598855,631.2759473693628,788.8326066295713
37,2020-04-11,RJ,702,57,9846229.0,775.9408891439425,683.8755907221673,852.0393667959944
38,2020-04-12,RJ,859,64,10003345.0,840.0717942632068,740.4042228571504,919.4826032295946
39,2020-04-13,RJ,899,67,10003345.0,908.80084627246,801.5043419699145,991.9481562704336
40,2020-04-14,RJ,1017,84,10037215.0,982.4590390276963,868.7490193353316,1069.3397139406177
41,2020-04-15,RJ,1224,98,10131176.0,1061.4115486695314,941.4712835060564,1152.1150839713216
42,2020-04-16,RJ,1285,106,10131176.0,1146.0330562389133,1019.2450503929007,1240.9971263138907
43,2020-04-17,RJ,1403,122,10131176.0,1236.7290783463754,1103.103546616152,1334.8908844118935
44,2020-04-18,RJ,1484,150,10156332.0,1333.9331424534794,1193.549483839783,1435.1829489088896
45,2020-04-19,RJ,1549,157,10156332.0,1438.113560646376,1290.2663003920095,1542.3067591286028
46,2020-04-20,RJ,1656,165,10198811.0,1549.7680035060696,1393.206905113674,1657.0393207326608
47,2020-04-21,RJ,1719,176,10198811.0,1669.4312122955635,1503.5859039629104,1779.6817915150955
48,2020-04-22,RJ,1896,187,10222039.0,1797.67748061636,1622.3688354463998,1910.7747108691074
49,2020-04-23,RJ,2145,208,10276293.0,1935.121394755041,1750.1967249312977,2050.2002064593885
50,2020-04-24,RJ,2191,223,10285650.0,2082.4214252623565,1888.6147959374841,2200.905997502748
51,2020-04-25,RJ,2347,248,10285650.0,2240.283215650718,2041.466074716976,2361.918721073333
52,2020-04-26,RJ,2613,263,10325151.0,2409.4635624846555,2206.3292502609947,2534.2821650381397
53,2020-04-27,RJ,2683,272,10362153.0,2590.7692776976905,2384.1255994712983,2720.7865788027984
54,2020-04-28,RJ,2950,282,10362153.0,2785.0678119239424,2575.8559852111925,2920.977763342782
55,2020-04-29,RJ,3180,298,10362153.0,2993.287879345791,2782.593777108791,3134.166686149032
56,2020-04-30,RJ,3550,319,10389327.0,3216.416527023059,3004.9662588780275,3358.7403939600927
57,2020-05-01,RJ,3977,347,10412561.0,3455.5300265672117,3243.2524574635827,3600.4823436414704
58,2020-05-02,RJ,4098,368,10431456.0,3711.7567116281048,3499.91667313529,3860.144586198615
59,2020-05-03,RJ,4389,388,10431456.0,3986.3140009604685,3770.7027410153746,4139.619796885442
60,2020-05-04,RJ,4438,395,10431456.0,4280.5071027183785,4058.48935499133,4440.514701630421
61,2020-05-05,RJ,4559,410,10445458.0,4595.735228876795,4374.046597495626,4762.393205696124
62,2020-05-06,RJ,4718,441,10445458.0,4933.492627842269,4713.266764044642,5106.712475727558
63,2020-05-07,RJ,5105,475,10445458.0,5295.376944695177,5074.144158679364,5477.394205014421
64,2020-05-08,RJ,6069,501,10473598.0,5683.098098111368,5471.960028391765,5864.515574991774
65,2020-05-09,RJ,6450,561,10473598.0,6098.4854825886705,5892.1776221051,6287.585131961776
66,2020-05-10,RJ,6542,588,10473598.0,6543.494084630016,6321.8611122380225,6748.082207022461
67,2020-05-11,RJ,7320,598,10480953.0,7020.216353747039,6801.621778564959,7241.109754733156
68,2020-05-12,RJ,7670,649,10480953.0,7530.8881598219605,7294.503126744707,7776.887890438526
69,2020-05-13,RJ,7702,687,10480953.0,8077.899160959656,7814.545328732718,8341.044673093145
70,2020-05-14,RJ,8203,738,10496458.0,8663.80451861861,8371.409905073311,8966.039701080073
71,2020-05-15,RJ,8272,807,10496458.0,9291.332924972576,8970.719719563838,9641.208015034565
72,2020-05-16,RJ,9306,863,10514987.0,9963.401099124874,9606.388294014638,10356.189273340156
73,2020-05-17,RJ,9317,874,10514987.0,10683.118238332143,10280.41242071082,11138.184072314523
74,2020-05-18,RJ,13222,892,10534548.0,11453.80734829023,11009.954781478404,11980.689003667478
75,2020-05-19,RJ,13274,944,10534548.0,12279.01634486139,11805.581754994673,12879.32859106514
76,2020-05-20,RJ,13306,988,10534548.0,13162.527387352624,12607.938289052769,13843.688154423991
77,2020-05-21,RJ,13346,1036,10534548.0,14108.372489362395,13469.034406766961,14880.05135725961
78,2020-05-22,RJ,13428,1137,10534548.0,15120.853065259511,14399.062477314455,15986.921785703596
0,2020-03-12,PR,1,0,82620.0,0.0,0.0,0.0
1,2020-03-13,PR,1,0,82620.0,1.5435874317553355,0.44927729250934734,2.24172208852954
2,2020-03-14,PR,1,0,82620.0,4.270076613667457,2.2846002084886,5.886975891249592
3,2020-03-15,PR,1,0,82620.0,7.7870635558327495,4.6927676515828125,10.46606443031057
4,2020-03-16,PR,1,0,82620.0,11.90382723013441,7.473614471404697,15.904734091382053
5,2020-03-17,PR,5,0,916512.0,16.513884548109836,10.81189359916357,21.860580526593786
6,2020-03-18,PR,7,0,1598710.0,21.571401061994518,14.416564643876047,28.33599077950584
7,2020-03-19,PR,7,0,1598710.0,27.064177949388107,18.510415234175923,35.30543952094264
8,2020-03-20,PR,10,0,1631829.0,32.99527338951721,23.04286233854396,42.76032780740844
9,2020-03-21,PR,13,0,2178003.0,39.38167748369938,28.04381343466733,50.52057726180843
10,2020-03-22,PR,23,0,2421729.0,46.24606472330829,33.547236283561894,58.79561849026648
11,2020-03-23,PR,26,0,2750183.0,53.61934009141324,39.543506756653386,67.60170322885769
12,2020-03-24,PR,30,0,2917531.0,61.5340424307051,45.963632552076454,76.89952085938873
