Infec_mean,Infec_lb,Infec_ub,date,state,cases,deaths,population
2138.22638582726,2041.60155587285,2228.55247084234,2020-04-26,BA,2248,74,9433481
2296.259298409,2196.02773324526,2388.5561576989,2020-04-27,BA,2356,83,9470829
2464.84372655995,2361.0277338097,2560.88891529217,2020-04-28,BA,2564,93,9660783
2644.68168972857,2537.32719636498,2744.65445042345,2020-04-29,BA,2676,100,9773275
2836.52137521883,2725.69221976489,2940.22542635367,2020-04-30,BA,2867,106,9794118
3041.16087580213,2926.9423989398,3148.3290583474,2020-05-01,BA,3140,117,9812648
3259.45242013693,3141.95941695104,3368.53659497714,2020-05-02,BA,3315,123,10053432
3492.30335071288,3371.67776535969,3605.21965880617,2020-05-03,BA,3566,128,10137587
3740.68139937783,3617.09770899423,3853.73657052794,2020-05-04,BA,3734,141,10178595
4005.61630724084,3879.28914507857,4117.8966165625,2020-05-05,BA,4040,146,10243988
4288.20247744801,4159.3881114146,4400.33104962847,2020-05-06,BA,4301,160,10386359
4589.61317088966,4457.97551775465,4706.42063623039,2020-05-07,BA,4528,165,10461708
4911.08758704036,4775.71840861837,5031.32170115106,2020-05-08,BA,4819,183,10470651
5253.96420887586,5116.81514813732,5373.25652279374,2020-05-09,BA,5175,196,10560260
5619.65126125702,5478.63046254827,5742.84540824683,2020-05-10,BA,5559,202,10740213
6009.64953959778,5864.64065629564,6129.83018312173,2020-05-11,BA,5808,214,10769247
6425.57034038951,6276.86217839467,6549.02760543908,2020-05-12,BA,6205,225,10947251
6869.1150873282,6717.02623925596,6999.29115171108,2020-05-13,BA,6549,236,11034986
7342.10064155419,7187.67778082575,7491.70769605468,2020-05-14,BA,6956,262,11314871
7846.46169854302,7686.91654030305,8011.41785707693,2020-05-15,BA,8130,281,11655357
8384.25912818607,8216.98154178421,8558.13943889309,2020-05-16,BA,8316,286,11704775
8957.68067655467,8763.75297076274,9151.10377297469,2020-05-17,BA,8444,295,11704775
9569.0567198942,9357.98609144477,9784.0746537618,2020-05-18,BA,8882,312,11823006
10220.8641116373,9990.42710444408,10459.7089273514,2020-05-19,BA,11014,326,12005964
