date,state,cases,population_x,Infec,population_y,Rtdata,Rtmod
2020-05-11,GO,1100,7116143,1259.058948627415,1509379.0,1.6870658127847762,1.4845370038001844
2020-05-12,GO,1115,7116143,1324.5517285940707,1509379.0,3.1874265890624733,1.4842277722230226
2020-05-13,GO,1225,7116143,1393.0646199781027,1509379.0,4.600070577273477,1.4840635446828707
2020-05-14,GO,1460,7116143,1464.741297972152,1509379.0,4.599351371769294,1.4838613792574165
2020-05-15,GO,1605,7116143,1539.7248052555785,1509379.0,3.5279838823981566,1.4836040366430208
2020-05-16,GO,1652,7116143,1618.166375857821,1509379.0,2.150324455763447,1.4834802009701324
2020-05-17,GO,1692,7116143,1700.2284099812352,1509379.0,0.96894356759415,1.483299153643613
2020-05-18,GO,1781,7116143,1786.068828437851,1509379.0,1.311501579549028,1.4831315327601062
2020-05-19,GO,1880,7116143,1875.8690902469607,1509379.0,1.1128282636108136,1.4828987538466454
2020-05-20,GO,2049,7116143,1969.805989649508,,,
2020-05-21,GO,2155,7116143,2068.0684992301403,,,
2020-05-22,GO,2344,7116143,2170.862503061939,,,
2020-03-20,MA,1,7114598,0.0,,,
2020-03-21,MA,2,7114598,0.9150795695924708,,,
2020-03-22,MA,2,7114598,2.6034364084038706,,,
2020-03-23,MA,8,7114598,4.900224846360112,,,
2020-03-24,MA,8,7114598,7.780063006776732,,,
2020-03-25,MA,8,7114598,11.274829433701534,,,
2020-03-26,MA,10,7114598,15.456526153213638,,,
2020-03-27,MA,13,7114598,20.42439805631789,,,
2020-03-28,MA,15,7114598,26.314068841639184,,,
2020-03-29,MA,21,7114598,33.29281073502796,,,
2020-03-30,MA,30,7114598,41.558336182483174,,,
2020-03-31,MA,51,7114598,51.34597283660259,,,
2020-04-01,MA,70,7114598,62.92184904916214,,,
2020-04-02,MA,80,7114598,76.62280558305123,,,
2020-04-03,MA,87,7114598,92.84611923252544,,,
2020-04-04,MA,95,7114598,112.04416422850471,,,
2020-04-05,MA,132,7114598,134.7624471499945,,,
2020-04-06,MA,171,7114598,161.6440741799494,,,
2020-04-07,MA,229,7114598,193.4381219066949,1080406.0,4.434673779292131,4.051836768419505
2020-04-08,MA,272,7114598,231.05765198958235,1080406.0,3.9316614448996186,4.021529512299475
2020-04-09,MA,293,7114598,275.57604233887616,1080406.0,3.1242999324889302,3.9987890631979353
2020-04-10,MA,344,7114598,328.25660420664065,1080406.0,2.8674491632434496,3.981797538989586
2020-04-11,MA,398,7114598,390.5952279916835,1080406.0,2.542742591456588,3.968756698694404
2020-04-12,MA,445,7114598,464.3526794615088,1080406.0,3.769159465350437,3.9588727982729393
2020-04-13,MA,478,7114598,551.6175552824915,1080406.0,3.382211211936859,3.9510913591887777
2020-04-14,MA,630,7114598,652.5799064961417,1080406.0,3.5335929178144485,3.944600636954074
2020-04-15,MA,695,7114598,757.2925582125571,1080406.0,4.951687179115981,3.9390491182028313
2020-04-16,MA,797,7114598,866.4564168536402,1080406.0,4.1864404492999485,3.9339408229556008
2020-04-17,MA,1040,7114598,981.8258857527576,1080406.0,3.8797493353492585,3.6559011688278527
2020-04-18,MA,1205,7114598,1104.659006337843,1080406.0,3.1515697821630857,3.075219460691241
2020-04-19,MA,1320,7114598,1235.9420286991126,1080406.0,2.5367351910694858,2.6559907427315768
2020-04-20,MA,1410,7114598,1376.5434770847214,1080406.0,2.1542833496007083,2.35009353717171
2020-04-21,MA,1604,7114598,1527.2817846301334,1080406.0,2.198499653967042,2.1232001011316965
2020-04-22,MA,1757,7114598,1688.9708348108718,1080406.0,2.1538327624541687,1.952647752988636
2020-04-23,MA,1951,7114598,1862.4553767765667,1080406.0,1.6594676797525647,1.8228703479839068
2020-04-24,MA,2105,7114598,2048.621027881546,1080406.0,1.6036443898531856,1.7231360081719638
2020-04-25,MA,2223,7114598,2248.405067454799,1080406.0,1.2821599400725403,1.645804235985171
2020-04-26,MA,2410,7114598,2462.807217384621,1080406.0,1.4153569868804885,1.5854077686980368
2020-04-27,MA,2528,7114598,2692.898936833884,1080406.0,1.896360998642644,1.5379462935679458
2020-04-28,MA,2804,7114598,2939.820914109583,1080406.0,2.074226001714465,1.5004505217037103
