,date,state,cases,deaths,population,Infec_mean,Infec_lb,Infec_ub
6,2020-03-18,PR,15,0,3531815.0,32.246067320254014,23.98419651950477,39.569275256168396
7,2020-03-19,PR,24,0,3531815.0,40.539560963506,30.62553146825582,49.65218527333335
8,2020-03-20,PR,37,0,3564934.0,49.53946616254111,37.782837498406856,60.56883830065614
9,2020-03-21,PR,44,0,4111108.0,59.278258104926564,45.65284523517168,72.28888868765709
10,2020-03-22,PR,54,0,4354834.0,69.80067346023479,54.433994588262046,84.78004489215533
11,2020-03-23,PR,60,0,4683288.0,81.16213396321422,64.00253113116973,98.14682541488676
12,2020-03-24,PR,70,0,4850636.0,93.42056877603152,74.11925663249816,112.406452592778
13,2020-03-25,PR,97,0,4962746.0,106.64136191012577,85.03962306814002,127.72167725623108
14,2020-03-26,PR,106,0,4962746.0,120.91436131733299,97.65229734341128,143.49738748430798
15,2020-03-27,PR,125,2,5246106.0,136.3035762396403,111.28743618695792,160.40413575987546
16,2020-03-28,PR,137,2,5260165.0,152.89600370982004,126.07189396444879,178.69692959283336
17,2020-03-29,PR,152,2,5803500.0,170.8035104716271,142.2072339348097,198.34663497289642
18,2020-03-30,PR,160,3,5989240.0,190.117463077201,159.60464979118618,219.29093737345028
19,2020-03-31,PR,185,3,6159312.0,210.96668621835724,180.14376266502117,241.66260350885997
20,2020-04-01,PR,229,3,6726534.0,233.4565007162632,202.54795057350108,265.80215686731856
21,2020-04-02,PR,258,4,7013269.0,257.72161698646545,224.3445912161889,291.6851757604277
22,2020-04-03,PR,307,5,7309569.0,283.9096608072844,247.2737354195858,319.2858129427345
23,2020-04-04,PR,401,7,7497604.0,312.17285329425243,271.0467135959809,348.5382181523961
24,2020-04-05,PR,445,10,7527866.0,342.679118683784,299.3565458421652,380.2595268632696
25,2020-04-06,PR,466,14,7570356.0,375.6042790959088,331.0505320009725,413.50061661562574
26,2020-04-07,PR,511,15,7596243.0,411.14472076004205,365.8149916454231,451.35327791376517
27,2020-04-08,PR,550,17,7779081.0,449.5118799249385,400.5290018886775,492.1788128387415
28,2020-04-09,PR,621,24,7806785.0,490.9327271316992,437.0005162312799,537.2458776406938
29,2020-04-10,PR,655,26,7852745.0,535.4867777194983,473.4806582703032,589.1226345432551
30,2020-04-11,PR,688,27,7852745.0,582.4405859083797,515.4280839552412,642.3971015076079
31,2020-04-12,PR,750,31,7863739.0,630.4780541770191,560.221520639672,694.6289424847342
32,2020-04-13,PR,768,33,8011323.0,678.7143639510098,603.8561620897897,743.2298088691828
33,2020-04-14,PR,803,39,8038094.0,726.7709694012294,647.2292755667868,796.0559615661148
34,2020-04-15,PR,816,41,8053213.0,774.4864535130803,690.819414289341,849.3264150873101
35,2020-04-16,PR,845,43,8062435.0,821.7989753794498,736.1022495678462,902.9048465294617
36,2020-04-17,PR,887,44,8067937.0,868.7961963098975,777.8695855699091,954.3442296309033
37,2020-04-18,PR,960,49,8216894.0,915.6168964542463,819.0849234399293,1005.3591065419498
38,2020-04-19,PR,1002,52,8285816.0,962.3625172690187,864.3773150830867,1055.923827563394
39,2020-04-20,PR,1022,53,8382483.0,1009.0944142599493,909.814329078219,1105.8367539657677
40,2020-04-21,PR,1039,55,8416883.0,1055.8504895778797,955.449114267464,1154.775042882652
41,2020-04-22,PR,1077,60,8471358.0,1102.6545213504844,1001.3150034620528,1202.7024904386474
42,2020-04-23,PR,1096,62,8492374.0,1149.5217619554005,1047.8213479792057,1250.173851708564
